key ,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
1147,Laww,GES,"{'jett', 'fade', 'neon'}",211,0.75,187.5,0.76,62,118.9,0.65,0.14,0.16,0.19,33,
1148,ruu,ARF.S,"{'viper', 'raze', 'cypher'}",269,0.75,160.9,0.68,64,107.1,0.53,0.22,0.04,0.09,18,11
1149,Saivon,FTR,"{'sova', 'fade', 'kayo'}",233,0.75,165.2,0.68,66,114.1,0.56,0.24,0.06,0.06,23,8
1150,Worship,APH,"{'breach', 'sage', 'killjoy'}",391,0.75,152.5,0.64,66,101.3,0.50,0.40,0.04,0.09,19,11
1151,NamGoku,CKE,"{'reyna', 'jett', 'raze'}",385,0.75,180.2,0.72,58,123.0,0.62,0.17,0.14,0.15,29,13
1152,Yawnpeek,AIM,"{'kayo', 'raze', 'sova'}",352,0.75,168.8,0.68,64,115.5,0.54,0.27,0.09,0.13,18,9
1153,Hukz,AES,"{'sova', 'breach', 'killjoy'}",425,0.75,170.0,0.71,63,113.4,0.58,0.18,0.07,0.10,21,6
1154,Sou,ARC,"{'killjoy', 'cypher', 'sova'}",843,0.75,154.5,0.71,64,104.4,0.54,0.24,0.05,0.10,23,13
1155,unknown1,SN,"{'cypher', 'omen', 'breach'}",214,0.75,158.2,0.74,70,92.5,0.55,0.25,0.07,0.09,23,13
1156,Olivia,FXG,"{'jett', 'reyna', 'raze'}",529,0.75,199.8,0.81,61,129.3,0.68,0.15,0.19,0.21,22,11
1157,johms,VAL,"{'sova', 'breach', 'kayo'}",246,0.75,164.4,0.65,67,113.8,0.53,0.38,0.05,0.10,22,8
1158,whoME,UCE,"{'skye', 'omen'}",570,0.74,165.8,0.81,65,106.6,0.58,0.24,0.06,0.07,18,10
1159,Sevy,AIM,"{'viper', 'omen', 'sova'}",312,0.74,158.8,0.68,63,105.6,0.54,0.29,0.04,0.06,26,6
1160,Solazet,2K,"{'phoenix', 'viper', 'omen'}",297,0.74,145.5,0.61,63,98.5,0.48,0.29,0.04,0.05,23,10
1161,ROACH,uG,"{'reyna', 'sova', 'chamber'}",308,0.74,166.3,0.70,59,110.1,0.59,0.17,0.10,0.15,32,9
1162,BriTSy,ALM.D,"{'sova', 'kayo', 'breach'}",380,0.74,147.4,0.65,62,104.2,0.50,0.28,0.03,0.07,20,12
1163,Anashi,BZE,"{'killjoy', 'chamber', 'sage'}",715,0.74,155.1,0.63,64,103.8,0.50,0.33,0.04,0.08,23,5
1164,STRANGER,SNK,"{'sova', 'skye', 'viper'}",920,0.74,159.9,0.66,63,109.8,0.54,0.27,0.05,0.10,22,10
1165,Loco,NCTD,"{'reyna', 'skye', 'raze'}",313,0.74,197.1,0.77,64,125.1,0.66,0.19,0.17,0.15,22,10
1166,aimix,NAOS,"{'breach', 'kayo', 'sage'}",235,0.74,135.7,0.65,61,85.8,0.49,0.30,0.03,0.07,29,8
1167,yzaK,LT,"{'raze', 'sova', 'reyna'}",480,0.74,190.3,0.82,65,125.5,0.64,0.26,0.09,0.11,15,7
1168,veron1ca,RN,"{'chamber', 'fade', 'sage'}",283,0.74,160.2,0.71,57,105.0,0.58,0.16,0.08,0.12,20,8
1169,craigys,ZLS,"{'raze', 'killjoy', 'skye'}",362,0.74,170.9,0.73,64,110.7,0.58,0.18,0.04,0.08,22,11
1170,Ketzai,UNC.DN,"{'cypher', 'sova'}",268,0.74,168.1,0.74,58,104.0,0.57,0.21,0.09,0.15,23,
1171,r3ason,(+3),"{'sova', 'omen', 'breach'}",509,0.74,171.9,0.67,62,112.3,0.57,0.37,0.08,0.11,22,12
1172,5M,SDB,"{'fade', 'sova', 'omen'}",204,0.73,146.8,0.69,65,96.9,0.52,0.29,0.03,0.08,32,
1173,cuppycake,QQQ,"{'omen', 'astra', 'sage'}",371,0.73,151.9,0.69,61,103.0,0.56,0.24,0.08,0.13,26,4
1174,RayK47,LCR,"{'raze', 'sova', 'jett'}",677,0.73,182.8,0.71,62,117.6,0.58,0.26,0.10,0.11,12,7
1175,Rendra,90,"{'jett', 'sova', 'raze'}",739,0.73,168.0,0.68,64,116.9,0.56,0.21,0.09,0.17,16,9
1176,Bangnan,DK,"{'reyna', 'sova', 'raze'}",235,0.73,203.5,0.88,54,133.2,0.70,0.20,0.09,0.12,28,7
1177,paddoX,AA,"{'sova', 'astra', 'reyna'}",301,0.73,150.4,0.71,64,102.0,0.56,0.20,0.06,0.11,22,6
1178,Co1d,YGGP,"{'jett', 'sage', 'chamber'}",230,0.73,179.2,0.73,61,123.0,0.62,0.15,0.11,0.18,25,25
1179,ghostxD,RGE,"{'brimstone', 'omen', 'viper'}",384,0.73,152.1,0.72,63,100.4,0.54,0.27,0.06,0.09,33,16
1180,Mizern,PDF,"{'sage', 'jett', 'breach'}",450,0.73,162.4,0.73,64,110.0,0.59,0.21,0.05,0.10,28,8
1181,tupai,EVAR,"{'tejo', 'clove', 'gekko'}",587,0.73,182.7,0.71,60,122.7,0.61,0.20,0.12,0.12,28,9
1182,Xty,AVN,"{'cypher', 'killjoy', 'gekko'}",203,0.73,162.8,0.66,66,104.1,0.54,0.29,0.03,0.06,26,3
