,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
22,sabooboo,RF.GC,"['harbor', 'brimstone', 'omen']",245,1.03,214.5,1.01,74%,137.1,0.76,0.40,0.11,0.09,17%,5%
23,chase,OLP,"['omen', 'brimstone', 'reyna']",627,1.03,225.2,1.05,75%,141.0,0.78,0.21,0.12,0.13,21%,20%
24,suther,9ZG,"['raze', 'reyna', 'phoenix']",579,1.02,239.3,1.14,87%,153.0,0.83,0.27,0.12,0.12,19%,9%
25,Tisora,STE,"['jett', 'reyna', 'raze']",415,1.01,216.3,1.00,67%,137.4,0.75,0.20,0.15,0.16,17%,23%
26,v1nny,TBK,"['cypher', 'omen', 'skye']",622,1.01,186.9,1.00,77%,117.3,0.65,0.32,0.07,0.07,26%,12%
27,Pyro,INFX,"['killjoy', 'sage', 'skye']",245,1.01,214.4,1.03,71%,129.7,0.75,0.33,0.09,0.08,22%,9%
28,pollo,SCCP,"['jett', 'yoru', 'reyna']",649,1.00,217.5,1.02,62%,127.9,0.76,0.15,0.16,0.14,21%,14%
29,rhz,AJF,"['cypher', 'sova', 'killjoy']",474,1.00,201.3,1.02,65%,129.4,0.72,0.31,0.06,0.06,27%,10%
30,Darker,EXL,"['breach', 'sage', 'cypher']",268,0.99,209.9,0.93,67%,139.8,0.74,0.23,0.09,0.12,28%,17%
31,Zhelick,(+5),"['fade', 'reyna', 'raze']",288,0.99,209.1,0.92,66%,138.3,0.72,0.23,0.13,0.10,24%,9%
32,gustt1nha,TOP,"['sova', 'raze', 'sage']",634,0.97,199.4,0.89,67%,127.9,0.67,0.27,0.06,0.10,23%,15%
33,Tura,AKV.GC,"['brimstone', 'astra', 'viper']",217,0.97,184.0,0.89,71%,119.3,0.63,0.40,0.07,0.09,22%,22%
34,mixtall,Tek,"['cypher', 'killjoy', 'raze']",482,0.96,174.3,0.90,65%,113.2,0.62,0.20,0.07,0.09,23%,9%
35,Nefry,RDY,"['viper', 'sova', 'breach']",250,0.96,189.0,0.92,66%,131.7,0.66,0.29,0.07,0.08,20%,12%
36,ducKw0w,Kika,"['jett', 'cypher', 'omen']",209,0.96,182.5,0.93,72%,112.6,0.67,0.21,0.09,0.08,22%,9%
37,Less,VIT,"['jett', 'raze', 'killjoy']",437,0.94,191.8,0.91,66%,121.3,0.67,0.21,0.08,0.09,19%,11%
38,tehx,ZEN,"['jett', 'fade']",287,0.93,197.3,0.93,61%,125.9,0.70,0.17,0.11,0.10,16%,12%
